,video_name,picture_num,sub,age,gender,race/ethnicity,condition,order,picture,category,valence,rating_psych_summer,included_in_psych_summer,HMM,BEJ
1,Emotionese_210420_01,1,1,18.71,male,Asian,baby only,baby,bubbles,excitement,positive,NA,NA,3,4
2,Emotionese_210420_01,10,1,18.71,male,Asian,baby only,baby,broken_toy,sadness,negative,NA,NA,0,1
3,Emotionese_210420_01,11,1,18.71,male,Asian,baby only,baby,delicious_food,craving,positive,NA,NA,3,3
4,Emotionese_210420_01,12,1,18.71,male,Asian,baby only,baby,spoiled_food,disgust,negative,NA,NA,0,-2
5,Emotionese_210420_01,2,1,18.71,male,Asian,baby only,baby,flame,fear,negative,NA,NA,1,2
6,Emotionese_210420_01,3,1,18.71,male,Asian,baby only,baby,stuffed_animal,affection,positive,NA,NA,2,-1
7,Emotionese_210420_01,4,1,18.71,male,Asian,baby only,baby,spoiled_food,disgust,negative,NA,NA,1,-1
8,Emotionese_210420_01,5,1,18.71,male,Asian,baby only,baby,bubbles,excitement,positive,NA,NA,0,1
9,Emotionese_210420_01,6,1,18.71,male,Asian,baby only,baby,broken_toy,sadness,negative,NA,NA,0,-1
10,Emotionese_210420_01,7,1,18.71,male,Asian,baby only,baby,delicious_food,craving,positive,NA,NA,1,-2
11,Emotionese_210420_01,8,1,18.71,male,Asian,baby only,baby,skeleton,fear,negative,NA,NA,3,2
12,Emotionese_210420_01,9,1,18.71,male,Asian,baby only,baby,stuffed_animal,affection,positive,NA,NA,2,3
13,Emotionese_210422_01,1,2,11.58,male,White,baby only,baby,bubbles,excitement,positive,NA,NA,3,3
14,Emotionese_210422_01,2,2,11.58,male,White,baby only,baby,flame,fear,negative,NA,NA,2,2
15,Emotionese_210422_01,3,2,11.58,male,White,baby only,baby,stuffed_animal,affection,positive,NA,NA,3,2
16,Emotionese_210422_01,4,2,11.58,male,White,baby only,baby,spoiled_food,disgust,negative,NA,NA,-4,3
17,Emotionese_210422_01,5,2,11.58,male,White,baby only,baby,bubbles,excitement,positive,NA,NA,1,1
18,Emotionese_210422_01,6,2,11.58,male,White,baby only,baby,broken_toy,sadness,negative,NA,NA,-1,1
19,Emotionese_210422_01,7,2,11.58,male,White,baby only,baby,delicious_food,craving,positive,NA,NA,0,2
20,Emotionese_210422_02,1,3,14.35,female,White,baby only,baby,bubbles,excitement,positive,NA,NA,1,1
21,Emotionese_210422_02,10,3,14.35,female,White,baby only,baby,broken_toy,sadness,negative,NA,NA,0,2
22,Emotionese_210422_02,11,3,14.35,female,White,baby only,baby,delicious_food,craving,positive,NA,NA,0,1
23,Emotionese_210422_02,12,3,14.35,female,White,baby only,baby,spoiled_food,disgust,negative,NA,NA,1,-1
24,Emotionese_210422_02,2,3,14.35,female,White,baby only,baby,flame,fear,negative,NA,NA,0,-1
25,Emotionese_210422_02,3,3,14.35,female,White,baby only,baby,stuffed_animal,affection,positive,NA,NA,0,-1
26,Emotionese_210422_02,4,3,14.35,female,White,baby only,baby,spoiled_food,disgust,negative,NA,NA,0,0
27,Emotionese_210422_02,5,3,14.35,female,White,baby only,baby,bubbles,excitement,positive,NA,NA,0,-1
28,Emotionese_210422_02,6,3,14.35,female,White,baby only,baby,broken_toy,sadness,negative,NA,NA,0,0
29,Emotionese_210422_02,7,3,14.35,female,White,baby only,baby,delicious_food,craving,positive,NA,NA,0,-1
30,Emotionese_210422_02,8,3,14.35,female,White,baby only,baby,skeleton,fear,negative,NA,NA,0,1
